Array sizes;random_small_range & BubbleSort;random_small_range & BubbleSortIverson1;random_small_range & BubbleSortIverson12;random_small_range & CountingSort;random_small_range & HeapSort;random_small_range & SimpleInsertionSort;random_small_range & BinaryInsertionSort;random_small_range & MergeSort;random_small_range & QuickSort;random_small_range & RadixSort;random_small_range & SelectionSort;random_small_range & ShellSort;random_small_range & CiuraShellSort;random_large_range & BubbleSort;random_large_range & BubbleSortIverson1;random_large_range & BubbleSortIverson12;random_large_range & CountingSort;random_large_range & HeapSort;random_large_range & SimpleInsertionSort;random_large_range & BinaryInsertionSort;random_large_range & MergeSort;random_large_range & QuickSort;random_large_range & RadixSort;random_large_range & SelectionSort;random_large_range & ShellSort;random_large_range & CiuraShellSort;almost_sorted & BubbleSort;almost_sorted & BubbleSortIverson1;almost_sorted & BubbleSortIverson12;almost_sorted & CountingSort;almost_sorted & HeapSort;almost_sorted & SimpleInsertionSort;almost_sorted & BinaryInsertionSort;almost_sorted & MergeSort;almost_sorted & QuickSort;almost_sorted & RadixSort;almost_sorted & SelectionSort;almost_sorted & ShellSort;almost_sorted & CiuraShellSort;decreasing & BubbleSort;decreasing & BubbleSortIverson1;decreasing & BubbleSortIverson12;decreasing & CountingSort;decreasing & HeapSort;decreasing & SimpleInsertionSort;decreasing & BinaryInsertionSort;decreasing & MergeSort;decreasing & QuickSort;decreasing & RadixSort;decreasing & SelectionSort;decreasing & ShellSort;decreasing & CiuraShellSort
2700;33844400;35803400;33547300;85900;517400;9006400;16256400;1578500;4525500;215400;14077000;272900;206700;36702900;36980300;37669600;78200;651500;10145400;14342000;1739800;1021500;215200;14576800;711400;545900;15152100;937000;1013000;77200;619600;59500;189400;1449400;5971900;223000;14029600;208200;155300;40719800;40798800;41952900;100800;560400;20828600;28197400;1544300;25563700;215800;15523100;285200;221500
2800;37626500;37327600;36542800;79100;539200;8928900;17403200;1641500;4903400;231900;15278900;269600;220900;38657900;38685100;39325000;90200;676400;10704000;15019200;1730300;1034500;229300;15335200;675800;864600;15972100;1046100;968900;81400;619700;63400;196800;1568000;6301300;222700;15112700;309800;161600;45584900;44314200;44432000;79800;866200;23217600;30196300;1601400;27163400;335600;19187900;293800;238700
2900;39469900;39094900;39887600;81600;564900;10020600;18863800;1702200;5254800;233100;16534000;289500;227800;41281200;42793600;42444100;82400;708700;11804100;16774100;1808000;1142200;231000;16598700;690600;844700;16895600;1006900;1010400;83000;651200;64100;204800;1571500;6794600;232200;16377300;202300;174200;47439200;47890800;47445400;81900;599500;23227100;32310900;1577300;28879900;237700;16619400;368700;243100
3000;43116800;41152300;41256200;83300;584400;10268400;19883700;1774000;6304400;240400;17484300;294000;487600;44713900;45128700;45252200;83700;732700;12678300;17386000;2003800;1133900;243800;17858000;695100;1077100;19386600;1201600;1084100;83600;674500;106500;217700;1646600;7453800;240000;17609900;193300;172800;49733000;54022300;53426000;88000;626200;25151800;34103100;1911200;31949800;238400;18177700;327100;256200
3100;44582700;45174100;44724800;93200;605300;10994200;21719600;1959200;6221700;248100;19036400;346300;263600;47930600;48103500;48214600;96100;761900;14018300;18783400;2367400;1289000;246000;19013600;915400;1082500;19352200;1077900;1096700;90300;704600;68400;219700;2133100;7638300;279200;18810800;327800;194800;61698900;53559700;54921700;86100;649400;27020900;37834100;1707500;33009500;246700;18878100;358700;279500
3200;52210700;49338200;48966300;87900;623200;11824400;22596700;1902200;6306700;332100;19849800;388500;257100;51711400;51468600;50625400;88200;789200;14342200;19732300;2094100;1197200;254700;20191400;908000;685100;21182800;1114500;1259300;88100;721700;70700;235700;1757000;8276400;266300;20236600;238700;186700;56339300;64420300;58253800;97300;674200;28695900;39425000;1770500;35262300;263000;21255900;340300;285500
3300;50469200;50523200;50073500;97200;641400;13076600;24269000;3064300;6660800;263200;21555200;313600;261300;54611800;56619200;55627400;90300;812700;15487700;22067400;2065800;1662000;262400;22085800;842700;706300;22858800;1163400;1155200;89800;745600;72900;235300;1814500;8774900;264700;21114900;262200;193200;60054900;60729100;62677500;89400;694500;30283500;41699400;1816200;37867700;380800;36272100;370700;297100
3400;55973000;52907100;53658100;98700;669400;13734600;26190900;2087300;7162200;271900;22380200;329100;264000;57694300;57877600;58596700;92200;843800;15836500;22138300;2372900;1275800;269700;22650200;846700;714000;23383200;1233800;1188000;92900;1456500;125000;243000;1862000;9064200;271700;22869400;264400;200300;65423500;64755300;66094600;181300;725900;32820600;46202000;2574600;39860100;270100;22749900;363300;349200
3500;57075900;56776900;57026100;93800;679700;14187400;27422300;2145700;7593300;293700;24163200;344900;284300;61461300;61924800;62128600;93200;1055700;17445000;23717300;2199300;1412100;277100;24538800;1123500;748600;25216500;1221900;1222700;94100;999800;77400;250800;1926200;9578900;287200;25169000;219100;205200;67698900;68096300;74906700;93100;749200;35075900;46863900;2739300;41928700;278700;24467100;369400;443800
3600;65283500;67836100;61321000;95300;732100;16185000;28787100;2154500;8220300;286300;25839900;386700;293800;65679900;65766000;65188400;102300;950300;18044500;25175600;2267500;1354700;1661600;27286600;1060700;777000;26192400;1253200;1289700;95700;813500;79700;344900;1970800;10407300;287700;25710100;198300;212100;73575100;73988200;73283100;107200;919300;42278800;59447100;2261800;51220500;335400;30126800;505700;327900
3700;64423800;62523000;63130600;112600;725800;15534400;30055800;2211300;8333600;301300;26795800;342900;293500;69100500;68718700;69634300;98300;929400;18889800;26332700;2459500;1394300;292100;26821900;1072800;809200;28232800;1298600;1294300;97500;843700;81900;266400;2130400;10675000;294800;27103100;221400;219700;76109200;77294700;77670000;104300;790000;38494200;52444900;2363400;47277100;293200;27883800;392100;662200
3800;68551800;68221600;70454000;99100;749400;16720000;32094700;2279500;9058200;301900;28182100;369600;370900;72888800;74070600;74575800;100300;978500;20266000;28786900;2420400;1425700;300800;28411300;956900;828600;29568000;1322000;1432400;106700;872300;84200;402300;2089400;15845800;302500;29514800;262400;265200;80534600;82005800;83493000;99500;812300;40697300;55130700;2251300;49865300;354600;28715000;405400;342900
3900;74837100;71608300;71159400;101900;768900;17606800;33606100;2336800;9309400;310300;30363800;344600;324600;76318000;114429700;77890900;102400;994200;21132200;31838800;2478000;1583800;315600;32594800;1703500;1013400;31153500;1362500;1368500;181200;889000;93900;282600;2239300;11784700;604500;29489600;246300;229900;86961400;86024500;88088500;101200;837400;44509300;58346600;2302300;59368200;308300;30940000;443400;362800
4000;75924500;75481300;75778400;104000;788900;18552500;36482400;2553900;9660100;322100;32705200;418500;333500;80533100;79995200;81537200;103800;1030600;22011900;30070100;3722700;1551800;316200;31858900;1057400;1294000;34329700;1832000;1652800;103600;1083500;88700;290400;2232800;13381000;325000;30855100;277000;238400;89333100;90387500;93749300;102700;878000;44726000;63348500;2210200;54673400;334000;32154800;445700;355300
4100;78602300;79088500;78976300;113700;799200;19366400;37221200;2488500;10232100;334600;33649700;482600;325700;85038700;85376100;87800300;105400;1054100;23231700;32784800;2620300;1558700;330600;34753800;1753900;1141300;34715700;1603600;1515200;106600;1020200;103300;304200;2283100;13217100;326200;32838400;239300;243300;95248000;94049000;95657600;106200;875500;47563600;65998700;2257700;58346100;323500;34751200;427900;483600
