Array sizes;RandomSmallRange & BubbleSort;RandomSmallRange & BubbleSortIverson1;RandomSmallRange & BubbleSortIverson12;RandomSmallRange & CountingSort;RandomSmallRange & HeapSort;RandomSmallRange & SimpleInsertionSort;RandomSmallRange & BinaryInsertionSort;RandomSmallRange & MergeSort;RandomSmallRange & QuickSort;RandomSmallRange & RadixSort;RandomSmallRange & SelectionSort;RandomSmallRange & ShellSort;RandomSmallRange & CiuraShellSort;RandomLargeRange & BubbleSort;RandomLargeRange & BubbleSortIverson1;RandomLargeRange & BubbleSortIverson12;RandomLargeRange & CountingSort;RandomLargeRange & HeapSort;RandomLargeRange & SimpleInsertionSort;RandomLargeRange & BinaryInsertionSort;RandomLargeRange & MergeSort;RandomLargeRange & QuickSort;RandomLargeRange & RadixSort;RandomLargeRange & SelectionSort;RandomLargeRange & ShellSort;RandomLargeRange & CiuraShellSort;AlmostSorted & BubbleSort;AlmostSorted & BubbleSortIverson1;AlmostSorted & BubbleSortIverson12;AlmostSorted & CountingSort;AlmostSorted & HeapSort;AlmostSorted & SimpleInsertionSort;AlmostSorted & BinaryInsertionSort;AlmostSorted & MergeSort;AlmostSorted & QuickSort;AlmostSorted & RadixSort;AlmostSorted & SelectionSort;AlmostSorted & ShellSort;AlmostSorted & CiuraShellSort;Decreasing & BubbleSort;Decreasing & BubbleSortIverson1;Decreasing & BubbleSortIverson12;Decreasing & CountingSort;Decreasing & HeapSort;Decreasing & SimpleInsertionSort;Decreasing & BinaryInsertionSort;Decreasing & MergeSort;Decreasing & QuickSort;Decreasing & RadixSort;Decreasing & SelectionSort;Decreasing & ShellSort;Decreasing & CiuraShellSort
1100;31249072;29163403;27679436;38284;1962761;7929528;17712904;1219010;3175595;777750;13302240;439581;350327;33071212;31693329;30353901;38284;2220588;9346748;15111960;1236578;1182374;777750;13329005;1016797;866471;21294955;4043976;2826729;38284;2343988;187437;718570;1110434;4912318;777750;13291499;321277;257959;44901658;44894076;44917043;38284;2077412;18548206;29530255;1089962;16217630;777750;14613130;667085;513207
1200;39744177;37044049;35172458;44286;2249869;10068559;22472098;1430958;3977722;889500;16915395;517529;410493;42030546;40286696;38574719;44286;2559363;11846846;19117570;1451622;1385159;889500;16947353;1214089;1024381;27081276;4731874;3371730;44286;2702723;219636;845420;1302654;6059802;889500;16902933;383289;304221;57135057;57126279;57152847;44286;2393093;23594799;37530563;1278816;20593395;889500;18584520;782729;599277
1300;49596842;46195277;43849677;50788;2567723;12486670;27899936;1663462;4913545;1010050;21154590;599521;474691;52470137;50283807;48106686;50788;2928487;14721455;23719605;1687240;1596964;1010050;21192180;1436481;1198227;33869999;5479252;3968389;50788;3094214;254681;984248;1513054;7384196;1010050;21140321;419969;354803;71492906;71482832;71513301;50788;2738415;29516942;46913921;1485910;25723810;1010050;23244360;916753;709347
1400;61091214;56935139;54009889;57790;2913690;15342642;34273895;1916312;5988966;1139400;26069845;685611;546889;64748760;62072920;59406149;57790;3327012;18187400;29258989;1943660;1830846;1139400;26113278;1651179;1391593;41741124;6286110;4616706;57790;3517397;292572;1135054;1741910;8898100;1139400;26053663;495259;409705;88145205;88133735;88168405;57790;3111306;36384635;57790329;1711220;31668875;1139400;28647650;1059243;818681
1500;74123612;69048305;65476781;65292;3282508;18493612;41385633;2189790;7227557;1277550;31711279;772084;621839;78801299;75557038;72319092;65292;3757517;22131813;35557924;2220912;2089934;1277550;31761233;1888324;1596559;50774651;7152448;5316681;65292;3972883;333309;1297838;1989648;10614114;1277550;31692959;564484;468927;107261954;107248988;107288159;65292;3515012;44267878;70269787;1954410;38488590;1277550;34849390;1213332;940943
1600;89127709;83046383;78765487;73294;3679428;22214659;49692927;2483890;8634166;1424500;38128829;888141;703285;94962850;91081681;87218464;73294;4218518;26753102;42929292;2519098;2368556;1424500;38185981;2209709;1822053;61050580;8078266;6068314;73294;4460293;376892;1472600;2254696;12544838;1424500;38108209;650925;532469;129013153;128998591;129042563;73294;3945193;53236671;84462295;2215648;46242955;1424500;41904580;1374333;1060421
1700;106114061;98904149;93803590;81796;4099835;26451771;59114441;2798276;10197005;1580250;45372384;992744;788427;113083688;108480847;103893419;81796;4710018;31872592;51091678;2838134;2665761;1580250;45437576;2490232;2060395;72648911;9063564;6871605;81796;4980406;423321;1659700;2539298;14702872;1580250;45349413;748584;600331;153568802;153552544;153601617;81796;4406019;63361014;100477853;2495006;54991970;1580250;49868220;1547320;1202043
1800;125250616;116818431;110827339;90798;4550695;31273352;69781700;3133392;11954664;1744800;53492093;1128988;879239;133376086;127939670;122509427;90798;5233774;37593162;60206936;3177882;2982521;1744800;53565160;2852156;2315255;85649644;10108342;7726554;90798;5532082;472596;1859258;2843088;17100816;1744800;53466571;808108;672663;181098901;181080847;181135321;90798;4895217;74710907;118426461;2791932;64795635;1744800;58795310;1744124;1350695
1900;146502543;136636218;129638919;100300;5024915;36590089;81565496;3489424;13882037;1918150;62537841;1238389;976639;155773326;149407976;143056782;100300;5788465;43800698;70095967;3539038;3330579;1918150;62619243;3176197;2586319;100132779;11212600;8633161;100300;6116513;524717;2071274;3165556;19751270;1918150;62509683;899205;749615;211773450;211753500;211813675;100300;5416534;87356350;138418119;3106642;75713950;1918150;68740850;1944597;1493183
2000;170046736;158599394;150506209;110302;5526582;42477344;94611460;3865394;16026608;2100300;72559715;1368247;1078483;180860992;173492922;166130633;110302;6372427;50888432;81376401;3921086;3696132;2100300;72650266;3538951;2877283;116178316;12376338;9591426;110302;6733312;579684;2295748;3507608;22666834;2100300;72528749;1000071;831187;245762449;245740503;245806679;110302;5963937;101367343;160562827;3438632;87806915;2100300;79759840;2165047;1655779
2100;195903984;182715820;173394962;120804;6051250;48889064;108867694;4262096;18374613;2291250;83607727;1504766;1184947;208441632;199965555;191476242;120804;6987330;58640568;93710136;4324724;4067918;2291250;83708017;3960494;3181267;133866255;13599556;10601349;120804;7383837;637497;2533088;3868370;25860108;2291250;83573769;1094478;917379;283235898;283211856;283284333;120804;6542639;116813886;184971009;3789554;101134530;2291250;91907280;2379454;1823283
2200;224509184;209459116;198819145;131806;6605256;56101280;124780487;4681756;20943174;2491000;95731805;1655533;1297023;238602788;228903286;219148869;131806;7638249;67062972;107106121;4750822;4474355;2491000;95842626;4352957;3501423;153276596;14882254;11662930;131806;8069173;698156;2783414;4248328;29343692;2491000;95694743;1212269;1008191;324363797;324337559;324416637;131806;7150226;133765979;211753041;4160872;115756795;2491000;105238170;2609277;2004175
2300;255761904;238693107;226588958;143308;7184264;63973656;142149508;5122982;23740787;2699550;108981927;1795469;1414471;271460424;260407108;249263827;143308;8321207;76183616;121606656;5199074;4886299;2699550;109103727;4758621;3840759;174489339;16224432;12776169;143308;8789682;761661;3046510;4647626;33130186;2699550;108941671;1296813;1103623;369316146;369287612;369373591;143308;7791317;152293622;241018923;4552058;131733710;2699550;119807510;2873533;2187223
