Array sizes;RandomSmallRange & BubbleSort;RandomSmallRange & BubbleSortIverson1;RandomSmallRange & BubbleSortIverson12;RandomSmallRange & CountingSort;RandomSmallRange & HeapSort;RandomSmallRange & SimpleInsertionSort;RandomSmallRange & BinaryInsertionSort;RandomSmallRange & MergeSort;RandomSmallRange & QuickSort;RandomSmallRange & RadixSort;RandomSmallRange & SelectionSort;RandomSmallRange & ShellSort;RandomSmallRange & CiuraShellSort;RandomLargeRange & BubbleSort;RandomLargeRange & BubbleSortIverson1;RandomLargeRange & BubbleSortIverson12;RandomLargeRange & CountingSort;RandomLargeRange & HeapSort;RandomLargeRange & SimpleInsertionSort;RandomLargeRange & BinaryInsertionSort;RandomLargeRange & MergeSort;RandomLargeRange & QuickSort;RandomLargeRange & RadixSort;RandomLargeRange & SelectionSort;RandomLargeRange & ShellSort;RandomLargeRange & CiuraShellSort;AlmostSorted & BubbleSort;AlmostSorted & BubbleSortIverson1;AlmostSorted & BubbleSortIverson12;AlmostSorted & CountingSort;AlmostSorted & HeapSort;AlmostSorted & SimpleInsertionSort;AlmostSorted & BinaryInsertionSort;AlmostSorted & MergeSort;AlmostSorted & QuickSort;AlmostSorted & RadixSort;AlmostSorted & SelectionSort;AlmostSorted & ShellSort;AlmostSorted & CiuraShellSort;Decreasing & BubbleSort;Decreasing & BubbleSortIverson1;Decreasing & BubbleSortIverson12;Decreasing & CountingSort;Decreasing & HeapSort;Decreasing & SimpleInsertionSort;Decreasing & BinaryInsertionSort;Decreasing & MergeSort;Decreasing & QuickSort;Decreasing & RadixSort;Decreasing & SelectionSort;Decreasing & ShellSort;Decreasing & CiuraShellSort
1100;5999100;6953500;5852300;49000;209600;1635700;3045000;616400;1065300;294100;4400100;132000;99600;7268000;8599000;7262200;68900;445200;2784600;3342200;2099400;986700;163900;4424500;523500;333600;5630200;432400;497100;68800;307700;34400;91800;728800;1678000;102000;2860400;79400;70200;7795100;7989100;7718400;48900;261700;3671800;4879100;549900;5527000;99900;2809600;121400;86600
1200;7095100;7036600;6703600;50500;230300;2040400;3519300;669000;1245700;219400;3257800;117700;98300;10025200;10380400;12354700;179800;288000;2183100;3678000;898600;437400;138700;3897300;266700;234700;3784500;587800;856000;86400;317800;28800;83000;649600;2319300;108800;3027500;91000;67200;9200200;9351100;9315900;51900;250900;4477900;8285800;612300;8368100;111000;3626500;119700;98600
1300;8389700;8427400;7860000;52600;250300;2707800;4901200;842800;1776100;138900;7308800;180500;106100;9595800;9079300;11384200;65300;308300;3691300;4315700;1032100;705900;153800;5609600;336500;287700;6096400;872100;583500;64600;461800;58000;107400;751900;2633400;147200;4493800;72800;92600;14327800;13563200;15392600;82600;338800;6950300;9423400;1450900;15639300;194900;10100300;220100;212300
1400;20852900;22917200;41127900;127200;785600;7495800;12374100;2873400;3972400;398700;14456500;376900;508800;39672800;27006200;20392900;90700;884700;6482200;18136500;1519000;1181000;356500;9992300;571800;566200;14145600;1269800;719700;102500;697100;57600;195500;1634300;5812500;216000;9918700;236700;139000;29369600;30799900;52653600;168400;790500;17957200;21552900;1829300;19154600;227300;7451500;250900;179400
1500;16624500;15790100;16738000;90500;520500;4981000;7673700;1123400;3007900;343100;7245400;174100;185800;17907200;26212200;29221400;93500;542100;5328400;6534700;1171600;725900;175000;7037800;514800;393900;8705300;1006800;763500;80200;536700;54900;159500;1048700;4353900;347700;8439200;144300;174200;20016700;22219400;20455500;91000;473500;13341800;15640800;1355700;16810000;202000;8963900;237700;428900
1600;21101200;21341800;26402700;116900;597000;8117700;14256900;2148800;4483400;233700;14865600;492700;352900;30249400;37889300;27159700;105500;1067100;9224000;11617800;2186500;1494600;269300;9964600;801700;955800;19530200;1797600;1014800;92300;659100;102900;185000;1433900;4826000;259600;8805800;190300;130800;25402800;25660900;23559400;109400;536700;11382600;15601900;1059100;17936000;189300;9351300;263300;242800
1700;37791000;23965900;22903700;86300;900100;7328400;10622700;2247400;4171400;242200;14304200;298300;256100;31656700;28441200;31606500;114300;797000;8542400;11216200;2665200;1441700;597800;15632200;737200;733400;18801300;1190700;1018400;108800;717400;55800;176300;1169100;4508700;209700;8256900;193000;129800;26980100;24491000;26444400;89100;622700;15263100;22030100;2359000;40505700;285300;15089200;455700;390400
1800;33376200;27028500;29700500;118500;589800;7866400;15114400;1903800;5148800;426500;12332100;345000;284700;32685000;29427400;35483900;193500;976400;7156500;10251600;1291100;1013400;270800;19010400;903500;568600;16811200;1691100;1444800;123200;1356100;2790600;244900;1729400;6268400;256500;14215900;203200;302100;55046600;52069000;62002300;132100;1100700;59315300;65312100;2650600;46439000;432100;19448900;632400;469800
1900;48067000;40095800;37098500;127300;773200;9715900;19288300;2650700;6523900;293000;12995600;550800;306300;40136400;38025100;45505700;107700;855600;13861500;13094900;2114000;1430100;694600;16963100;922100;756000;16461400;1217800;1062200;98200;2365100;109000;378500;2414900;8481500;293600;15970300;230400;203600;52045300;45250700;44117800;117000;815300;22952000;27386000;1828800;28288300;307900;15813600;386800;369200
2000;38698300;33494100;32752800;101000;650800;7518300;19003500;2376400;8602100;242200;13017200;348600;251900;32253100;29720400;27706000;100200;1199500;12106000;15401300;2104200;1164700;367500;24600200;1189600;1053000;15953700;1530300;1706300;98700;674100;68100;314900;2487300;8662300;284300;13984200;233300;169100;40562800;46793900;60424700;147000;616700;19574100;40018200;2182900;48876800;585400;25595800;490200;314600
